UnitOrigem,Referenciada,CamadaOrigem,CamadaDestino,TipoDependencia,MesmoNamespace
"Unit1","Winapi.Windows","Outro","Outro","Direta","Sim"
"Unit1","Winapi.Messages","Outro","Outro","Direta","Sim"
"Unit1","System.SysUtils","Outro","Outro","Direta","Sim"
"Unit1","System.Variants","Outro","Outro","Direta","Sim"
"Unit1","System.Classes","Outro","Outro","Direta","Sim"
"Unit1","Vcl.Graphics","Outro","Outro","Direta","Sim"
"Unit1","Vcl.Controls","Outro","Outro","Direta","Sim"
"Unit1","Vcl.Forms","Outro","Outro","Direta","Sim"
"Unit1","Vcl.Dialogs","Outro","Outro","Direta","Sim"
"Unit1","Vcl.Imaging.jpeg","Outro","Outro","Direta","Sim"
"Unit1","Vcl.ExtCtrls","Outro","Outro","Direta","Sim"
"Unit1","Vcl.Menus","Outro","Outro","Direta","Sim"
"Unit2","Winapi.Windows","Outro","Outro","Direta","Sim"
"Unit2","Winapi.Messages","Outro","Outro","Direta","Sim"
"Unit2","System.SysUtils","Outro","Outro","Direta","Sim"
"Unit2","System.Variants","Outro","Outro","Direta","Sim"
"Unit2","System.Classes","Outro","Outro","Direta","Sim"
"Unit2","Vcl.Graphics","Outro","Outro","Direta","Sim"
"Unit2","Vcl.Controls","Outro","Outro","Direta","Sim"
"Unit2","Vcl.Forms","Outro","Outro","Direta","Sim"
"Unit2","Vcl.Dialogs","Outro","Outro","Direta","Sim"
"Unit2","Vcl.StdCtrls","Outro","Outro","Direta","Sim"
"Unit2","Vcl.Imaging.jpeg","Outro","Outro","Direta","Sim"
"Unit2","Vcl.ExtCtrls","Outro","Outro","Direta","Sim"
"Unit2","Vcl.Imaging.pngimage","Outro","Outro","Direta","Sim"
"Unit3","Winapi.Windows","Outro","Outro","Direta","Sim"
"Unit3","Winapi.Messages","Outro","Outro","Direta","Sim"
"Unit3","System.SysUtils","Outro","Outro","Direta","Sim"
"Unit3","System.Variants","Outro","Outro","Direta","Sim"
"Unit3","System.Classes","Outro","Outro","Direta","Sim"
"Unit3","Vcl.Graphics","Outro","Outro","Direta","Sim"
"Unit3","Vcl.Controls","Outro","Outro","Direta","Sim"
"Unit3","Vcl.Forms","Outro","Outro","Direta","Sim"
"Unit3","Vcl.Dialogs","Outro","Outro","Direta","Sim"
"Unit3","Vcl.StdCtrls","Outro","Outro","Direta","Sim"
"Unit3","Vcl.ExtCtrls","Outro","Outro","Direta","Sim"
"Unit3","Vcl.Mask","Outro","Outro","Direta","Sim"
"uExemploTeste01","Winapi.Windows","Outro","Outro","Direta","Sim"
"uExemploTeste01","Winapi.Messages","Outro","Outro","Direta","Sim"
"uExemploTeste01","System.SysUtils","Outro","Outro","Direta","Sim"
"uExemploTeste01","System.Variants","Outro","Outro","Direta","Sim"
"uExemploTeste01","System.Classes","Outro","Outro","Direta","Sim"
"uExemploTeste01","Vcl.Graphics","Outro","Outro","Direta","Sim"
"uExemploTeste01","Vcl.Controls","Outro","Outro","Direta","Sim"
"uExemploTeste01","Vcl.Forms","Outro","Outro","Direta","Sim"
"uExemploTeste01","Vcl.Dialogs","Outro","Outro","Direta","Sim"
"uExemploTeste01","Vcl.StdCtrls","Outro","Outro","Direta","Sim"
"uExemploTeste01","Vcl.ExtCtrls","Outro","Outro","Direta","Sim"
"uExemploTeste01","UTipos","Outro","Outro","Direta","Sim"
"uExemploTeste01","UOpenRouterIA","Outro","Outro","Direta","Sim"
"Unit1","Winapi.Windows","Outro","Outro","Direta","Sim"
"Unit1","Winapi.Messages","Outro","Outro","Direta","Sim"
"Unit1","System.SysUtils","Outro","Outro","Direta","Sim"
"Unit1","System.Variants","Outro","Outro","Direta","Sim"
"Unit1","System.Classes","Outro","Outro","Direta","Sim"
"Unit1","Vcl.Graphics","Outro","Outro","Direta","Sim"
"Unit1","Vcl.Controls","Outro","Outro","Direta","Sim"
"Unit1","Vcl.Forms","Outro","Outro","Direta","Sim"
"Unit1","Vcl.Dialogs","Outro","Outro","Direta","Sim"
"Unit1","Vcl.StdCtrls","Outro","Outro","Direta","Sim"
"Unit1","Vcl.ExtCtrls","Outro","Outro","Direta","Sim"
"Unit1","System.Net.HttpClient","Outro","Outro","Direta","Sim"
"Unit1","System.Net.URLClient","Outro","Outro","Direta","Sim"
